gene	type
COG2 	HK
COG3 	HK
COG4 	HK
COG7 	HK
COG8 	HK
COMMD1 	HK
COMMD10 	HK
COMMD3 	HK
COMMD3-BMI1 	HK
COMMD5 	HK
COMMD6 	HK
COMMD7 	HK
COMMD9 	HK
COMT 	HK
COPA 	HK
COPB1 	HK
COPB2 	HK
COPE 	HK
COPG1 	HK
COPS2 	HK
COPS3 	HK
COPS4 	HK
COPS5 	HK
COPS6 	HK
COPS7A 	HK
COPS7B 	HK
COPS8 	HK
COPZ1 	HK
COQ10B 	HK
COQ2 	HK
COQ4 	HK
COQ5 	HK
COQ6 	HK
CORO1C 	HK
COX11 	HK
COX14 	HK
COX15 	HK
COX16 	HK
COX19 	HK
COX20 	HK
COX4I1 	HK
COX5B 	HK
COX6B1 	HK
COX6C 	HK
COX7A2 	HK
COX7A2L 	HK
COX7C 	HK
COX8A 	HK
CPD 	HK
CPNE1 	HK
CPNE2 	HK
CPNE3 	HK
CPOX 	HK
CPSF2 	HK
CPSF3L 	HK
CPSF4 	HK
CPSF6 	HK
CPSF7 	HK
CRADD 	HK
CRBN 	HK
CRCP 	HK
CREB3 	HK
CREBZF 	HK
CREG1 	HK
CRELD1 	HK
CRIPAK 	HK
CRIPT 	HK
CRK 	HK
CRKL 	HK
CRLS1 	HK
CRNKL1 	HK
CRTC2 	HK
CRY2 	HK
CSGALNACT2 	HK
CSNK1A1 	HK
CSNK1A1L 	HK
CSNK1D 	HK
CSNK1G3 	HK
CSNK2A3 	HK
CSNK2B 	HK
CSRP2BP 	HK
CST3 	HK
CSTB 	HK
CSTF1 	HK
CSTF2T 	HK
CTAGE5 	HK
CTBP1 	HK
CTCF 	HK
CTDSP2 	HK
CTNNA1 	HK
CTNNB1 	HK
CTNNBIP1 	HK
CTNNBL1 	HK
CTNND1 	HK
CTSA 	HK
CTSD 	HK
CTTN 	HK
CTU2 	HK
CUEDC2 	HK
CUL1 	HK
CUL2 	HK
CUL4A 	HK
CUL4B 	HK
CUL5 	HK
CUTA 	HK
CUX1 	HK
CWC15 	HK
